,coefficient
stability_index,2.0350559733063704
weather_pattern_Monsoon,1.401772143975853
mineral_type_Flint,-1.3940636713918175
performance_score,-1.3785310214269868
region_Nebraska,-1.3761212203926467
mineral_type_Emerald,1.245851835678349
mineral_type_Diamond,0.9974983502478115
instrument_Zither,0.9974890405252852
weather_pattern_Heatwave,-0.9261386000795482
brew_preference_Latte,-0.9015100266017216
weather_pattern_Fog,-0.8636845518741675
mineral_type_Slate,-0.8613868513494141
personal_interest_Kite-flying,-0.8578272575799325
weather_pattern_Typhoon,0.8323893274762357
instrument_Dulcimer,-0.8277984289608664
region_Arkansas,-0.8091736383425456
mineral_type_Shale,-0.7794153084584433
personal_interest_Falconry,0.747908319952353
personal_interest_Fencing,-0.7475233211341266
mineral_type_Basalt,-0.6715944872406598
