,importance
weather_pattern_Monsoon,0.13744877332378636
composite_rank,0.10601217525390703
aptitude_score,0.10213591801432166
instrument_Cello,0.08694338032168641
performance_score,0.06718749602045745
stability_index,0.06418279585637567
activity_duration,0.06128407066333149
weather_pattern_Heatwave,0.05525975829598478
load_ratio,0.04327693659074997
index_weight,0.028045666180881113
instrument_Oboe,0.023904259453135457
instrument_Zither,0.019656727545102576
brew_preference_Latte,0.016677044333472432
personal_interest_Falconry,0.016666394772719046
brew_preference_Espresso,0.016326352765481323
instrument_Dulcimer,0.014885385024540697
personal_interest_Astronomy,0.012564458713265066
personal_interest_Kite-flying,0.010460700923562565
mineral_type_Sapphire,0.010422829505860624
mineral_type_Marble,0.010036949243367265
